group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
derived_period,0,ALL,2010s,ALL,unknown_initial_return,unsupported_error_terminal_form,45741,2129,407,408,490667,0.09322208340891072
derived_period,0,ALL,2010s,ALL,unknown_initial_return,unsupported_initial_modifier,65,37,35,32,490667,0.00013247273609189123
derived_period,0,ALL,2010s,ALL,unknown_initial_return,unsupported_local_component_order,10657,1527,280,276,490667,0.021719414592788998
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_ace,28421,2223,386,400,490667,0.057923194345656015
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_double_fault,11567,2178,394,383,490667,0.023574032898075477
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,490667,0.0
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_service_fault,131203,2232,412,411,490667,0.2673972368225293
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_special_event,1629,336,155,146,490667,0.003319970570672167
derived_period,0,ALL,2010s,ALL,ineligible_censored,censored_unreturned_serve,5541,1018,230,238,490667,0.011292791241310298
derived_period,0,ALL,2020s,ALL,documented_return_winner,immediate_return_winner,3638,1399,261,248,413713,0.008793535615269523
derived_period,0,ALL,2020s,ALL,documented_return_forced_error,immediate_return_forced_error,3274,757,216,238,413713,0.007913698626825843
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,102,96,66,60,413713,0.0002465477275309212
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,5097,1559,282,285,413713,0.01232013497279515
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,2,2,1,2,413713,4.834269167272965e-06
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,4170,1435,276,271,413713,0.010079451213764131
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,2345,1182,252,244,413713,0.005668180598627551
derived_period,0,ALL,2020s,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,426,347,133,137,413713,0.0010296993326291415
derived_period,0,ALL,2020s,ALL,return_terminal_not_documented,challenge_after_local_return,23,22,19,19,413713,5.559409542363909e-05
derived_period,0,ALL,2020s,ALL,return_terminal_not_documented,local_return_without_terminal,10,9,10,9,413713,2.417134583636482e-05
derived_period,0,ALL,2020s,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,198073,1805,332,332,413713,0.47876909838462894
derived_period,0,ALL,2020s,ALL,unknown_initial_return,ambiguous_initial_boundary,4694,749,181,197,413713,0.011346029735589649
derived_period,0,ALL,2020s,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,413713,0.0
derived_period,0,ALL,2020s,ALL,unknown_initial_return,missing_service_prefix,281,51,44,45,413713,0.0006792148180018515
derived_period,0,ALL,2020s,ALL,unknown_initial_return,terminal_with_trailing_content,59,5,7,7,413713,0.00014261094043455246
derived_period,0,ALL,2020s,ALL,unknown_initial_return,truncated_return_event,1,1,1,1,413713,2.4171345836364825e-06
derived_period,0,ALL,2020s,ALL,unknown_initial_return,unsupported_error_terminal_form,36427,1504,330,330,413713,0.08804896147812614
derived_period,0,ALL,2020s,ALL,unknown_initial_return,unsupported_initial_modifier,85,42,22,34,413713,0.00020545643960910099
derived_period,0,ALL,2020s,ALL,unknown_initial_return,unsupported_local_component_order,2772,1184,232,233,413713,0.006700297065840329
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_ace,24098,1796,305,319,413713,0.05824810919647195
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_double_fault,10117,1754,309,298,413713,0.02445415058265029
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,413713,0.0
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_service_fault,108538,1805,332,330,413713,0.2623509534387365
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_special_event,632,144,79,84,413713,0.0015276290568582568
derived_period,0,ALL,2020s,ALL,ineligible_censored,censored_unreturned_serve,8849,969,193,206,413713,0.021389223930599232
validation_fold,0,ALL,ALL,pre_validation,documented_return_winner,immediate_return_winner,14317,3522,580,556,1013150,0.014131175048117258
validation_fold,0,ALL,ALL,pre_validation,documented_return_forced_error,immediate_return_forced_error,13276,2581,510,534,1013150,0.01310368652223264
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_!,319,276,151,145,1013150,0.00031485959630854265
