column,dimension,group_value,total_rows,null_count,null_proportion,empty_count,empty_proportion,whitespace_only_count,whitespace_only_proportion,substantive_count,substantive_proportion,non_null_count,raw_length_min,raw_length_mean,raw_length_p25,raw_length_median,raw_length_p75,raw_length_p90,raw_length_p95,raw_length_p99,raw_length_max,trimmed_length_min,trimmed_length_mean,trimmed_length_p25,trimmed_length_median,trimmed_length_p75,trimmed_length_p90,trimmed_length_p95,trimmed_length_p99,trimmed_length_max
second_serve,year,1972,263,176,0.6692015209125475,0,0.0,0,0.0,87,0.33079847908745247,87,2,8.298850574712644,6.0,7.0,10.0,12.400000000000006,16.0,17.28,19,2,8.298850574712644,6.0,7.0,10.0,12.400000000000006,16.0,17.28,19
second_serve,year,1973,355,272,0.7661971830985915,0,0.0,0,0.0,83,0.23380281690140844,83,2,12.36144578313253,8.0,11.0,15.0,21.39999999999999,24.0,28.71999999999997,32,2,12.36144578313253,8.0,11.0,15.0,21.39999999999999,24.0,28.71999999999997,32
second_serve,year,1974,527,321,0.6091081593927894,0,0.0,0,0.0,206,0.3908918406072106,206,2,10.718446601941748,6.0,10.0,14.0,18.0,23.0,29.94999999999999,36,2,10.718446601941748,6.0,10.0,14.0,18.0,23.0,29.94999999999999,36
second_serve,year,1975,898,601,0.6692650334075724,0,0.0,0,0.0,297,0.3307349665924276,297,2,12.818181818181818,6.0,11.0,15.0,24.0,30.399999999999977,46.0,53,2,12.818181818181818,6.0,11.0,15.0,24.0,30.399999999999977,46.0,53
second_serve,year,1976,457,272,0.5951859956236324,0,0.0,0,0.0,185,0.4048140043763676,185,2,14.767567567567568,8.0,12.0,20.0,28.0,32.0,39.79999999999998,45,2,14.767567567567568,8.0,12.0,20.0,28.0,32.0,39.79999999999998,45
second_serve,year,1977,411,242,0.5888077858880778,0,0.0,0,0.0,169,0.41119221411192214,169,1,12.36094674556213,8.0,10.0,15.0,23.0,28.599999999999994,39.31999999999999,48,1,12.36094674556213,8.0,10.0,15.0,23.0,28.599999999999994,39.31999999999999,48
second_serve,year,1978,541,340,0.6284658040665434,0,0.0,0,0.0,201,0.37153419593345655,201,2,17.427860696517413,8.0,15.0,24.0,32.0,42.0,58.0,93,2,17.427860696517413,8.0,15.0,24.0,32.0,42.0,58.0,93
second_serve,year,1979,753,466,0.6188579017264276,0,0.0,0,0.0,287,0.38114209827357237,287,2,11.020905923344948,6.0,10.0,13.0,20.0,22.0,43.559999999999945,61,2,11.020905923344948,6.0,10.0,13.0,20.0,22.0,43.559999999999945,61
second_serve,year,1980,2703,1682,0.6222715501294858,0,0.0,0,0.0,1021,0.37772844987051424,1021,2,11.779627815866798,6.0,10.0,14.0,22.0,29.0,47.799999999999955,88,2,11.779627815866798,6.0,10.0,14.0,22.0,29.0,47.799999999999955,88
second_serve,year,1981,2661,1645,0.6181886508831267,0,0.0,1,0.0003757985719654265,1015,0.3814355505449079,1016,2,14.704724409448819,8.0,11.0,19.0,29.0,38.0,56.0,99,0,14.702755905511811,8.0,11.0,19.0,29.0,38.0,56.0,99
second_serve,year,1982,2663,1696,0.6368757040931281,0,0.0,0,0.0,967,0.36312429590687195,967,2,15.279214064115822,8.0,12.0,18.0,30.0,38.69999999999993,75.36000000000013,136,2,15.279214064115822,8.0,12.0,18.0,30.0,38.69999999999993,75.36000000000013,136
second_serve,year,1983,2494,1534,0.6150761828388132,0,0.0,0,0.0,960,0.38492381716118684,960,2,14.121875,6.0,11.0,17.0,28.0,38.0,55.229999999999905,80,2,14.121875,6.0,11.0,17.0,28.0,38.0,55.229999999999905,80
second_serve,year,1984,3203,1997,0.6234779893849516,0,0.0,0,0.0,1206,0.3765220106150484,1206,1,11.848258706467663,6.0,10.0,14.0,22.0,28.0,44.0,117,1,11.848258706467663,6.0,10.0,14.0,22.0,28.0,44.0,117
second_serve,year,1985,6898,4320,0.6262684836184401,0,0.0,0,0.0,2578,0.3737315163815599,2578,1,10.6966640806827,6.0,9.0,12.0,18.0,24.15000000000009,42.0,108,1,10.6966640806827,6.0,9.0,12.0,18.0,24.15000000000009,42.0,108
