server_player,surface,derived_period,direction_code,direction_label,tactically_actionable,points,matches,server_wins,server_win_rate,first_date,last_date
Andrew Harris,Hard,2010s,5,body,True,2,1,1,0.5,2019-02-10,2019-02-10
Andrew Harris,Hard,2010s,6,t,True,7,1,4,0.5714285714285714,2019-02-10,2019-02-10
Andrey Golubev,Hard,to_2009,4,wide,True,8,1,3,0.375,2008-10-26,2008-10-26
Andrey Golubev,Hard,to_2009,5,body,True,12,1,4,0.3333333333333333,2008-10-26,2008-10-26
Andrey Golubev,Hard,to_2009,6,t,True,2,1,0,0.0,2008-10-26,2008-10-26
Andrey Golubev,Hard,2010s,4,wide,True,19,1,12,0.631578947368421,2010-10-03,2010-10-03
Andrey Golubev,Hard,2010s,5,body,True,3,1,0,0.0,2010-10-03,2010-10-03
Andrey Golubev,Hard,2010s,6,t,True,21,1,15,0.7142857142857143,2010-10-03,2010-10-03
Andrey Golubev,Hard,2010s,0,unknown,False,1,1,1,1.0,2010-10-03,2010-10-03
Andrey Golubev,Clay,2010s,4,wide,True,15,2,12,0.8,2010-07-25,2015-05-22
Andrey Golubev,Clay,2010s,5,body,True,42,2,25,0.5952380952380952,2010-07-25,2015-05-22
Andrey Golubev,Clay,2010s,6,t,True,9,2,7,0.7777777777777778,2010-07-25,2015-05-22
Andrey Kuznetsov,Hard,2010s,4,wide,True,26,3,18,0.6923076923076923,2015-02-10,2016-03-12
Andrey Kuznetsov,Hard,2010s,5,body,True,35,3,19,0.5428571428571428,2015-02-10,2016-03-12
Andrey Kuznetsov,Hard,2010s,6,t,True,21,3,11,0.5238095238095238,2015-02-10,2016-03-12
Andrey Kuznetsov,Clay,2010s,4,wide,True,10,1,6,0.6,2013-05-14,2013-05-14
Andrey Kuznetsov,Clay,2010s,5,body,True,5,1,3,0.6,2013-05-14,2013-05-14
Andrey Kuznetsov,Clay,2010s,6,t,True,10,1,4,0.4,2013-05-14,2013-05-14
Andrey Rublev,Hard,2010s,4,wide,True,86,8,41,0.47674418604651164,2019-01-02,2019-10-10
Andrey Rublev,Hard,2010s,5,body,True,88,8,35,0.3977272727272727,2019-01-02,2019-10-10
