scope,metric,threshold,stratum_type,stratum,eligible_snapshots,total_snapshots,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
opponent_return_global,historical_points,100,surface,Clay,2947,3744,0.7871260683760684,1229,1872,0.656517094017094,463
opponent_return_global,historical_points,100,surface,Grass,1399,1658,0.8437876960193004,602,829,0.7261761158021713,323
opponent_return_global,historical_points,100,derived_period,to_2009,3199,3912,0.8177402862985685,1304,1956,0.6666666666666666,324
opponent_return_global,historical_points,100,derived_period,2010s,3551,4464,0.7954749103942652,1502,2232,0.6729390681003584,289
opponent_return_global,historical_points,100,derived_period,2020s,5931,6672,0.8889388489208633,2733,3336,0.8192446043165468,370
opponent_return_global,historical_points,250,overall,Overall,11142,15048,0.7404306220095693,4374,7524,0.5813397129186603,717
opponent_return_global,historical_points,250,surface,Hard,7373,9646,0.7643582832262078,2942,4823,0.6099937798051006,576
opponent_return_global,historical_points,250,surface,Clay,2532,3744,0.6762820512820513,955,1872,0.5101495726495726,409
opponent_return_global,historical_points,250,surface,Grass,1237,1658,0.7460796139927623,477,829,0.5753920386007237,299
opponent_return_global,historical_points,250,derived_period,to_2009,2763,3912,0.7062883435582822,969,1956,0.495398773006135,301
opponent_return_global,historical_points,250,derived_period,2010s,3020,4464,0.6765232974910395,1122,2232,0.5026881720430108,267
opponent_return_global,historical_points,250,derived_period,2020s,5359,6672,0.8032074340527577,2283,3336,0.6843525179856115,335
opponent_return_global,historical_points,500,overall,Overall,9495,15048,0.6309808612440191,3197,7524,0.42490696438064857,685
opponent_return_global,historical_points,500,surface,Hard,6298,9646,0.6529131246112378,2167,4823,0.4493054115695625,543
