dimension,direction,surface,derived_period,immediate_outcome,points,matches,servers,server_wins,server_win_rate
surface_derived_period,body,Grass,2010s,continuation_or_other,2932,233,120,1924,0.6562073669849932
surface_derived_period,body,Grass,2020s,ace,4,4,4,4,1.0
surface_derived_period,body,Grass,2020s,unreturned,54,33,28,54,1.0
surface_derived_period,body,Grass,2020s,fault,838,155,100,456,0.5441527446300716
surface_derived_period,body,Grass,2020s,continuation_or_other,2149,166,106,1352,0.6291298278268962
surface_derived_period,T,Hard,to_2009,ace,10204,1224,219,10204,1.0
surface_derived_period,T,Hard,to_2009,unreturned,869,325,107,869,1.0
surface_derived_period,T,Hard,to_2009,fault,42178,1249,234,21582,0.5116885580160273
surface_derived_period,T,Hard,to_2009,continuation_or_other,45224,1251,237,30677,0.6783345126481515
surface_derived_period,T,Hard,2010s,ace,9905,1387,292,9905,1.0
surface_derived_period,T,Hard,2010s,unreturned,1869,551,169,1869,1.0
surface_derived_period,T,Hard,2010s,fault,38497,1415,323,19663,0.5107670727589163
surface_derived_period,T,Hard,2010s,continuation_or_other,46280,1415,323,31220,0.6745894554883319
surface_derived_period,T,Hard,2020s,ace,9016,1171,245,9016,1.0
surface_derived_period,T,Hard,2020s,unreturned,2560,554,148,2560,1.0
surface_derived_period,T,Hard,2020s,fault,31799,1183,268,16053,0.504827195823768
surface_derived_period,T,Hard,2020s,continuation_or_other,41395,1183,269,27630,0.6674719168981761
surface_derived_period,T,Clay,to_2009,ace,1890,369,139,1890,1.0
surface_derived_period,T,Clay,to_2009,unreturned,211,94,55,211,1.0
surface_derived_period,T,Clay,to_2009,fault,12924,404,178,6470,0.5006190034045187
surface_derived_period,T,Clay,to_2009,continuation_or_other,14907,404,178,9597,0.6437915073455424
surface_derived_period,T,Clay,2010s,ace,2537,544,194,2537,1.0
surface_derived_period,T,Clay,2010s,unreturned,459,199,100,459,1.0
surface_derived_period,T,Clay,2010s,fault,14852,583,235,7422,0.4997306760032319
surface_derived_period,T,Clay,2010s,continuation_or_other,19155,583,235,12523,0.6537718611328635
surface_derived_period,T,Clay,2020s,ace,1953,420,165,1953,1.0
surface_derived_period,T,Clay,2020s,unreturned,717,186,98,717,1.0
surface_derived_period,T,Clay,2020s,fault,11415,452,203,5680,0.49759088918090233
surface_derived_period,T,Clay,2020s,continuation_or_other,15668,452,203,10153,0.6480086801123308
surface_derived_period,T,Grass,to_2009,ace,2670,271,131,2670,1.0
surface_derived_period,T,Grass,to_2009,unreturned,457,118,73,457,1.0
surface_derived_period,T,Grass,to_2009,fault,11421,297,150,6075,0.5319148936170213
surface_derived_period,T,Grass,to_2009,continuation_or_other,13782,301,150,9626,0.6984472500362792
surface_derived_period,T,Grass,2010s,ace,2489,231,113,2489,1.0
surface_derived_period,T,Grass,2010s,unreturned,314,82,63,314,1.0
surface_derived_period,T,Grass,2010s,fault,7203,234,121,3839,0.5329723726225184
surface_derived_period,T,Grass,2010s,continuation_or_other,10602,234,122,7459,0.7035465006602528
surface_derived_period,T,Grass,2020s,ace,1614,168,102,1614,1.0
surface_derived_period,T,Grass,2020s,unreturned,479,83,63,479,1.0
surface_derived_period,T,Grass,2020s,fault,5084,170,107,2678,0.526750590086546
surface_derived_period,T,Grass,2020s,continuation_or_other,6674,170,107,4521,0.6774048546598741
