profile_id,return_shot_type_code,return_shot_type_description,return_shot_type_family,return_lateral_direction_code,return_lateral_direction_description,return_depth_code,return_depth_description,complete_profile_attempts,share_of_complete_profiles,share_of_all_attempts
i|1|9,i,media volea de revés,half_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
i|2|7,i,media volea de revés,half_volley,2,centre,7,service_boxes,0,0.0,0.0
i|2|8,i,media volea de revés,half_volley,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
i|2|9,i,media volea de revés,half_volley,2,centre,9,closer_to_baseline,0,0.0,0.0
i|3|7,i,media volea de revés,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
i|3|8,i,media volea de revés,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
i|3|9,i,media volea de revés,half_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
j|1|7,j,volea liftada de derecha,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
j|1|8,j,volea liftada de derecha,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
j|1|9,j,volea liftada de derecha,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
j|2|7,j,volea liftada de derecha,swinging_volley,2,centre,7,service_boxes,0,0.0,0.0
j|2|8,j,volea liftada de derecha,swinging_volley,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
j|2|9,j,volea liftada de derecha,swinging_volley,2,centre,9,closer_to_baseline,0,0.0,0.0
j|3|7,j,volea liftada de derecha,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
j|3|8,j,volea liftada de derecha,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
j|3|9,j,volea liftada de derecha,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
k|1|7,k,volea liftada de revés,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
k|1|8,k,volea liftada de revés,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
k|1|9,k,volea liftada de revés,swinging_volley,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
k|2|7,k,volea liftada de revés,swinging_volley,2,centre,7,service_boxes,0,0.0,0.0
k|2|8,k,volea liftada de revés,swinging_volley,2,centre,8,behind_service_line_closer_to_service_line,0,0.0,0.0
k|2|9,k,volea liftada de revés,swinging_volley,2,centre,9,closer_to_baseline,0,0.0,0.0
k|3|7,k,volea liftada de revés,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,0,0.0,0.0
k|3|8,k,volea liftada de revés,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
k|3|9,k,volea liftada de revés,swinging_volley,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
t|1|7,t,"golpe especial, incluido trick shot o tweener",special,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,0,0.0,0.0
t|1|8,t,"golpe especial, incluido trick shot o tweener",special,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,2,3.3264254564687333e-06,1.4016762646448889e-06
t|1|9,t,"golpe especial, incluido trick shot o tweener",special,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,0,0.0,0.0
t|2|7,t,"golpe especial, incluido trick shot o tweener",special,2,centre,7,service_boxes,1,1.6632127282343666e-06,7.008381323224444e-07
t|2|8,t,"golpe especial, incluido trick shot o tweener",special,2,centre,8,behind_service_line_closer_to_service_line,2,3.3264254564687333e-06,1.4016762646448889e-06
t|2|9,t,"golpe especial, incluido trick shot o tweener",special,2,centre,9,closer_to_baseline,1,1.6632127282343666e-06,7.008381323224444e-07
t|3|7,t,"golpe especial, incluido trick shot o tweener",special,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,1,1.6632127282343666e-06,7.008381323224444e-07
t|3|8,t,"golpe especial, incluido trick shot o tweener",special,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
t|3|9,t,"golpe especial, incluido trick shot o tweener",special,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
