aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,derived_period,0,ALL,2020s,ALL,h,media volea de derecha,half_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,h,media volea de derecha,half_volley,1,1,1,1,0,1,0,0,0.793450685622763
code,derived_period,0,ALL,2010s,ALL,i,media volea de revés,half_volley,38,18,17,3,20,18,0.526315789473684,0.372589713844967,0.675209766774739
code,derived_period,0,ALL,2020s,ALL,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2010s,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2020s,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2010s,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2020s,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,to_2009,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,derived_period,0,ALL,2010s,ALL,t,"golpe especial, incluido trick shot o tweener",special,11,10,9,7,3,8,0.272727272727273,0.0974605929002489,0.565645301176129
code,derived_period,0,ALL,2020s,ALL,t,"golpe especial, incluido trick shot o tweener",special,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,derived_period,0,ALL,to_2009,ALL,t,"golpe especial, incluido trick shot o tweener",special,5,4,4,4,1,4,0.2,0.0362241086324301,0.624465370237475
code,validation_fold,0,ALL,ALL,pre_validation,f,"derecha, excluidos slices y golpes especiales",groundstroke,231592,4188,709,708,88588,143004,0.38251753083008,0.38054013717814,0.384498821823741
code,validation_fold,0,ALL,ALL,validation_2020,f,"derecha, excluidos slices y golpes especiales",groundstroke,9968,168,113,113,3813,6155,0.382524077046549,0.373030291755037,0.392108372986934
code,validation_fold,0,ALL,ALL,validation_2021,f,"derecha, excluidos slices y golpes especiales",groundstroke,20167,371,166,166,7817,12350,0.387613427877225,0.380911252341327,0.394358410589977
code,validation_fold,0,ALL,ALL,validation_2022,f,"derecha, excluidos slices y golpes especiales",groundstroke,33463,646,220,220,13394,20069,0.400262977019395,0.395025203711054,0.405523646761936
