scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
opponent_only,2020,T,global,349,29,45,0.5204597283496021,0.4785100286532951,0.041949699696306963,0.25828383647491654,0.7100916294490622,0.041949699696306963,0.03493404443983477,0.07927385214090032,2902,2183,719,0.7522398345968297,0.00801897095740578,0.016414695589657136,0.01993372496059544
opponent_only,2021,wide,surface,3658,200,378,0.5068494109821111,0.5196828868234008,-0.012833475841289688,0.2507830150610981,0.6947736038168529,-0.012833475841289688,0.023502330854451435,0.1538325606440462,6870,5054,1816,0.7356622998544395,0.0012689554035553718,0.0025989992551356256,0.017382328568129726
opponent_only,2021,wide,global,1396,84,142,0.5277782479057032,0.5200573065902578,0.007720941315445318,0.24957497638732257,0.6923247851120955,0.007720941315445318,0.023502330854451435,0.1538325606440462,6870,5054,1816,0.7356622998544395,-3.0426674280298327e-05,-3.300623287594284e-05,0.017382328568129726
opponent_only,2021,body,surface,4813,200,383,0.4996779692997804,0.5061292333264077,-0.006451264026627268,0.2500495449680956,0.6932645952258313,-0.006451264026627268,0.023502330854451435,0.1538325606440462,9296,6653,2643,0.715684165232358,6.142353325078176e-05,0.00014092926493569635,0.017382328568129726
opponent_only,2021,body,global,1840,80,143,0.5078665960214803,0.4907608695652174,0.017105726456262904,0.24958872181427336,0.6923671296722583,0.017105726456262904,0.023502330854451435,0.1538325606440462,9296,6653,2643,0.715684165232358,-0.0006806929572841514,-0.0013189579325300071,0.017382328568129726
opponent_only,2021,T,surface,2941,186,336,0.4878273217725097,0.4787487249234954,0.009078596849014298,0.25095250835103394,0.6950932677091279,0.009078596849014298,0.023502330854451435,0.1538325606440462,6344,4401,1943,0.6937263556116016,0.0008068092448163533,0.0016546280161005011,0.017382328568129726
opponent_only,2021,T,global,1460,102,155,0.5037892542789879,0.5054794520547945,-0.00169019777580659,0.2501665489936373,0.6935084351314208,-0.00169019777580659,0.023502330854451435,0.1538325606440462,6344,4401,1943,0.6937263556116016,0.00019715453325538923,0.00042246681140090114,0.017382328568129726
opponent_only,2022,wide,surface,7633,382,728,0.5128695976069448,0.5194549980348487,-0.006585400427903898,0.24989958789043715,0.6929649401608163,-0.006585400427903898,0.02038322285583955,0.12043979111390024,13216,10024,3192,0.7584745762711864,0.0003412537433090945,0.0007015567752901575,0.015865791512680562
opponent_only,2022,wide,global,2391,141,241,0.5111200236236891,0.5173567544960268,-0.00623673087233767,0.25124025057703503,0.6956982767327397,-0.00623673087233767,0.02038322285583955,0.12043979111390024,13216,10024,3192,0.7584745762711864,0.0015393003216528922,0.0031493114297432845,0.015865791512680562
opponent_only,2022,body,surface,7516,377,718,0.49914596996878285,0.5071846726982437,-0.00803870272946089,0.25028377420315767,0.6937569224982918,-0.00803870272946089,0.02038322285583955,0.12043979111390024,14454,10479,3975,0.7249896222498963,0.0003004663146429498,0.0006430274025922555,0.015865791512680562
opponent_only,2022,body,global,2963,143,246,0.5117884403479773,0.5160310496118798,-0.004242609263902519,0.25018034980280596,0.6936053989714912,-0.004242609263902519,0.02038322285583955,0.12043979111390024,14454,10479,3975,0.7249896222498963,0.0003861240320364445,0.0008698018266191099,0.015865791512680562
opponent_only,2022,T,surface,6055,363,686,0.49509996114839044,0.511478117258464,-0.016378156110073594,0.25068089578527947,0.6945495728881993,-0.016378156110073594,0.02038322285583955,0.12043979111390024,11122,8001,3121,0.7193850026973566,0.0007950607654993169,0.0016308730307017516,0.015865791512680562
opponent_only,2022,T,global,1946,141,228,0.5053345078173502,0.512332990750257,-0.006998482932906724,0.2503391157172677,0.6938877255883222,-0.006998482932906724,0.02038322285583955,0.12043979111390024,11122,8001,3121,0.7193850026973566,0.00041923383419817384,0.0009007840949974977,0.015865791512680562
opponent_only,2023,wide,surface,8000,375,730,0.504823440636806,0.5195,-0.014676559363194008,0.2500636885793988,0.6933001119555268,-0.014676559363194008,0.016609549580294314,0.136715495594941,13692,10281,3411,0.7508764241893077,0.0004121429978706237,0.0008499316412835523,0.014036885601813012
opponent_only,2023,wide,global,2281,126,224,0.5146945765919371,0.498903989478299,0.015790587113638066,0.25171668459565083,0.696689339607097,0.015790587113638066,0.016609549580294314,0.136715495594941,13692,10281,3411,0.7508764241893077,0.001360061439912963,0.0028284758887920924,0.014036885601813012
opponent_only,2023,body,surface,8382,370,722,0.4962567371530206,0.4952278692436173,0.0010288679094033193,0.24986531770436093,0.6929276659159406,0.0010288679094033193,0.016609549580294314,0.136715495594941,13981,10678,3303,0.7637508046634719,-0.00015873029509777536,-0.0002675173575737988,0.014036885601813012
opponent_only,2023,body,global,2296,124,222,0.5017640311292174,0.5135017421602788,-0.01173771103106136,0.2504528334459104,0.6941024052922078,-0.01173771103106136,0.016609549580294314,0.136715495594941,13981,10678,3303,0.7637508046634719,0.000606975466709625,0.0012635304404784442,0.014036885601813012
opponent_only,2023,T,surface,6131,361,695,0.4949634080362657,0.5111727287555048,-0.016209320719239084,0.25110058928153733,0.6953934946089736,-0.016209320719239084,0.016609549580294314,0.136715495594941,10923,8209,2714,0.7515334615032501,0.0012251861208742998,0.002495561816990177,0.014036885601813012
