role,scope,direction,threshold_points,stratum_type,stratum,observed_rows,minimum_points,median_points,points_q1,points_q3,median_raw_rate,raw_rate_q1,raw_rate_q3,zero_rate_rows,one_rate_rows,zero_rate_share,one_rate_share,median_wilson_width,wilson_width_p90
server,global,T,50,derived_period,to_2009,2915,50.0,404.0,170.0,945.5,0.5236250968241674,0.4954818867205574,0.5462686567164179,0,0,0.0,0.0,0.09685414087141009,0.20675914029689996
server,global,T,50,derived_period,2010s,3262,50.0,403.0,157.25,1254.75,0.5022021667652736,0.475,0.5407308610511192,0,0,0.0,0.0,0.09699960140284183,0.20913680636432103
server,global,T,50,derived_period,2020s,5561,50.0,452.0,199.0,1018.0,0.5042372881355932,0.47580645161290325,0.5322391559202814,0,0,0.0,0.0,0.09171196225325584,0.1946874789055989
server,global,T,100,overall,Overall,10291,100.0,530.0,253.0,1184.5,0.5112262521588946,0.4814687627187627,0.5409763847764859,0,0,0.0,0.0,0.08466769693096837,0.15599181519406802
server,global,T,100,surface,Hard,6801,100.0,544.0,259.0,1192.0,0.5108695652173914,0.48186528497409326,0.5408225905463474,0,0,0.0,0.0,0.0836499769312613,0.15459738984765647
server,global,T,100,surface,Clay,2326,100.0,472.5,230.25,1145.5,0.5094836775483012,0.47752808988764045,0.539763911058317,0,0,0.0,0.0,0.08968573397303692,0.1600217617177755
server,global,T,100,surface,Grass,1164,100.0,567.5,261.25,1177.0,0.5185643635444608,0.48641207159295885,0.5449775112443778,0,0,0.0,0.0,0.08180999212220538,0.1579169319238343
server,global,T,100,derived_period,to_2009,2533,100.0,501.0,249.0,1098.0,0.5256588072122053,0.5,0.5469255663430421,0,0,0.0,0.0,0.0870925784981782,0.15718633110304994
server,global,T,100,derived_period,2010s,2788,100.0,530.0,238.0,1537.0,0.5061050152066313,0.47932006740990407,0.5425471159337522,0,0,0.0,0.0,0.08479272307893337,0.16002300440684591
server,global,T,100,derived_period,2020s,4970,100.0,546.0,264.0,1107.75,0.5054089569999698,0.47761194029850745,0.5322381061952254,0,0,0.0,0.0,0.08352033008079568,0.15271582883032137
server,global,T,250,overall,Overall,7768,250.0,792.5,434.0,1455.0,0.5177721376198534,0.48728759932778687,0.5436814185398438,0,0,0.0,0.0,0.06934252795356649,0.11018326250577075
server,global,T,250,surface,Hard,5195,250.0,797.0,438.0,1454.0,0.5161290322580645,0.48717948717948717,0.5435233627999279,0,0,0.0,0.0,0.06914867439141648,0.1101689044688343
server,global,T,250,surface,Clay,1680,250.0,784.5,417.0,1425.0,0.5183272731150232,0.4847561161752764,0.542688957444878,0,0,0.0,0.0,0.06969568818029728,0.11093729904454956
server,global,T,250,surface,Grass,893,250.0,781.0,440.0,1540.0,0.5222222222222223,0.49298597194388777,0.547244094488189,0,0,0.0,0.0,0.06986943036323945,0.10767164347510606
server,global,T,250,derived_period,to_2009,1890,250.0,728.5,422.0,1442.0,0.5297872287209963,0.5114045716531307,0.5478346344521055,0,0,0.0,0.0,0.07219585748821855,0.11060151917188449
server,global,T,250,derived_period,2010s,2044,250.0,928.0,453.0,2076.0,0.5184135977337111,0.4866497102487762,0.5465711725295515,0,0,0.0,0.0,0.06417864710624385,0.11008971499636964
