fold,surface,rank,direction,comparison_scope,orientations,direction_share,mean_score,median_score,mean_score_gap_from_rank_1,median_score_gap_from_rank_1,observed_points,observed_server_wins,observed_win_rate
2022,Clay,1,wide,global,19,0.4418604651162791,0.5393344958009901,0.5359090054521527,0.0,0.0,193,98,0.5077720207253886
2022,Clay,1,body,global,15,0.3488372093023256,0.5322839650689015,0.5247620195204241,0.0,0.0,121,60,0.49586776859504134
2022,Clay,1,T,global,9,0.20930232558139536,0.5217610579976086,0.5080181352588052,0.0,0.0,78,43,0.5512820512820513
2022,Clay,2,wide,surface,53,0.34415584415584416,0.5051709875692147,0.5084938430614914,0.018770201091553772,0.015877313491816758,607,296,0.4876441515650741
2022,Clay,2,body,surface,65,0.42207792207792205,0.5043864829704039,0.5019270072992701,0.022563629007161346,0.019299684853004817,602,295,0.4900332225913621
2022,Clay,2,T,surface,36,0.23376623376623376,0.5031332893294538,0.5038527490886837,0.021302160823226717,0.01492930749213589,342,170,0.49707602339181284
2022,Clay,2,wide,global,14,0.32558139534883723,0.5065107689083558,0.5021531747484853,0.033199157274955426,0.022427931042357296,113,54,0.4778761061946903
2022,Clay,2,body,global,18,0.4186046511627907,0.5027326685040376,0.4996465762496583,0.029145071085061487,0.02864646864510695,179,98,0.547486033519553
2022,Clay,2,T,global,11,0.2558139534883721,0.4973078992134187,0.49435150206871736,0.029758113428460756,0.03285268214714798,103,48,0.46601941747572817
2022,Clay,3,wide,surface,25,0.16233766233766234,0.4865747149993293,0.4794237754664621,0.03519208816501116,0.03308436288460148,264,124,0.4696969696969697
2022,Clay,3,body,surface,57,0.37012987012987014,0.4752250555204187,0.4772859216255443,0.045783064248392825,0.044852820450863196,512,257,0.501953125
2022,Clay,3,T,surface,72,0.4675324675324675,0.4756313863110595,0.4731320351381142,0.05435033003794325,0.05437593480310415,666,341,0.512012012012012
2022,Clay,3,wide,global,10,0.23255813953488372,0.46122871145971434,0.4601573719209344,0.051188291684850194,0.04407148824916016,142,65,0.45774647887323944
2022,Clay,3,body,global,10,0.23255813953488372,0.4863756161202459,0.4892638785044387,0.05056494683910464,0.039837369738941725,86,50,0.5813953488372093
2022,Clay,3,T,global,23,0.5348837209302325,0.4844282065952493,0.48670212765957444,0.056175652413083775,0.055605655855065605,202,95,0.47029702970297027
2022,Grass,1,wide,surface,7,0.4117647058823529,0.5748534868499876,0.5676797429374749,0.0,0.0,72,42,0.5833333333333334
2022,Grass,1,body,surface,6,0.35294117647058826,0.5740095286004165,0.5561042340552708,0.0,0.0,74,45,0.6081081081081081
2022,Grass,1,T,surface,4,0.23529411764705882,0.5549795981454917,0.552189742724116,0.0,0.0,54,29,0.5370370370370371
2022,Grass,1,wide,global,32,0.43243243243243246,0.5335934530912713,0.5312175986802705,0.0,0.0,372,202,0.543010752688172
2022,Grass,1,body,global,28,0.3783783783783784,0.5244784789323078,0.5304546387804049,0.0,0.0,484,259,0.5351239669421488
2022,Grass,1,T,global,14,0.1891891891891892,0.5396817227104307,0.5359868312730098,0.0,0.0,105,64,0.6095238095238096
2022,Grass,2,wide,surface,10,0.5882352941176471,0.5457678134281799,0.5419970288342505,0.02062974299026672,0.019890449178795067,97,54,0.5567010309278351
2022,Grass,2,body,surface,3,0.17647058823529413,0.5323830814832698,0.531,0.017631761458511013,0.022199951917511895,42,22,0.5238095238095238
2022,Grass,2,T,surface,4,0.23529411764705882,0.5364974740140538,0.5347044406510426,0.05698499576708885,0.05876588202672611,58,36,0.6206896551724138
2022,Grass,2,wide,global,24,0.32432432432432434,0.5092190929662993,0.5080223999458033,0.019221891918081564,0.012379673095946508,237,125,0.5274261603375527
2022,Grass,2,body,global,23,0.3108108108108108,0.515841213103353,0.5185215532597078,0.020021378123201972,0.019136798814867184,370,184,0.4972972972972973
2022,Grass,2,T,global,27,0.36486486486486486,0.5078519208144867,0.5140372291730241,0.022092849242381033,0.019765030774970938,211,122,0.5781990521327014
2022,Grass,3,wide,surface,0,0.0,,,,,0,0,
2022,Grass,3,body,surface,8,0.47058823529411764,0.4996269774312397,0.4901726732083875,0.07460405653207747,0.07137979592252752,63,26,0.4126984126984127
2022,Grass,3,T,surface,9,0.5294117647058824,0.49786272050063357,0.4857326951399117,0.06814857954690447,0.07428016132235787,81,50,0.6172839506172839
2022,Grass,3,wide,global,18,0.24324324324324326,0.4886377367560585,0.4911630722393022,0.042382146067581034,0.042707022976469944,179,89,0.4972067039106145
2022,Grass,3,body,global,23,0.3108108108108108,0.4932755922222973,0.49321253186384767,0.04175462598013516,0.03825173557602962,254,138,0.5433070866141733
2022,Grass,3,T,global,33,0.44594594594594594,0.47843265947970454,0.4852100720831222,0.05041216226241272,0.04161175782141696,341,180,0.5278592375366569
2023,<ALL>,1,wide,surface,387,0.5758928571428571,0.5278220204722779,0.527559928973069,0.0,0.0,4281,2216,0.5176360663396403
2023,<ALL>,1,body,surface,156,0.23214285714285715,0.5216183123214134,0.5218785419496608,0.0,0.0,1822,881,0.4835345773874863
2023,<ALL>,1,T,surface,129,0.19196428571428573,0.5248844659768146,0.5228354978354979,0.0,0.0,1005,502,0.49950248756218907
